Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G32 8JE,55.839156,-4.14754,265613,662745,NS656627,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/2001,,,,12,4,,,Mount Vernon North and Sandyhills - 05,Large urban area,
G32 8JF,55.838586,-4.138516,266176,662664,NS661626,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/12/2001,,,,0,0,,,Carmyle and Mount Vernon South - 01,Large urban area,
G32 8JJ,55.834252,-4.159198,264866,662222,NS648622,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,0,0,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JL,55.832965,-4.159318,264854,662079,NS648620,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,0,0,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JN,55.832368,-4.157992,264935,662010,NS649620,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,21,9,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JP,55.83296,-4.157051,264996,662074,NS649620,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,65,34,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JR,55.833459,-4.157286,264983,662130,NS649621,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,55,38,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JS,55.833648,-4.155715,265082,662148,NS650621,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,28,16,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JT,55.834543,-4.15543,265103,662247,NS651622,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,49,20,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JU,55.833884,-4.157613,264964,662178,NS649621,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,70,36,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8JW,55.832829,-4.156309,265042,662058,NS650620,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,18,8,,,Carmyle and Mount Vernon South - 04,Large urban area,
